"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
0,"Katarina Prskalo",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0,"Lorena Puskaric",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0,"Tihana Zupanic",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
0,"Lorena Orescanin",1,0,0,0,4,2,3,0,0,0,0,0,1,1.000
0,"Paula Duvnjak",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
0,"Petra Cizmic",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
0,"Dora Krznaric",1,0,0,0,0,0,0,0,0,0,1,0,0,0.000
0,"Ema Ziger",1,0,0,0,3,1,0,0,0,0,0,0,0,1.000
0,"Mia Pavlicevic",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0,"Mia Zivkovic",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
"","TOTALS",1,0,1,1,12,6,3,0,0,0,1,0,1,0.947